#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Louis Segond Bible
#copyright	Public Domain
#language	french 

; Scripture taken from the Louis Segond Bible.
; Public Domain.

Et vous, enfants de Sion, soyez dans l'allégresse	Joë.2:23
Pour moi, m'approcher de Dieu, c'est mon bien	Ps.73:28
Maintenant donc ces trois choses demeurent: la foi, l'espérance, la charité 	1Co.13:13
Celui qui a construit toutes choses, c'est Dieu	Hé.3:4
Montre-moi ce que je ne vois pas	Job 34:32
L'Éternel a de la bonté pour qui espčre en lui	La.3:25
Le bonheur est pour ceux qui craignent Dieu	Ec.8:12
Grâces soient rendues ŕ Dieu pour son don ineffable!	2Co.9:15
Grâces soient rendues ŕ Dieu, qui nous donne la victoire par notre Seigneur Jésus-Christ! 	1Co.15:57
Donne aujourd'hui du succčs ŕ ton serviteur	Né.1:11
Béni soit le Seigneur chaque jour! Quand on nous accable, Dieu nous délivre	Ps.68:20
Je te bénirai… et tu seras une source de bénédictions	Ge.12:2
Il bénira ceux qui craignent l'Éternel	Ps.115:13
Heureux l'homme qui supporte patiemment la tentation	Ja.1:12
Heureux celui ŕ qui la transgression est remise, ŕ qui le péché est pardonné!	Ps.32:1
Heureux vous qui pleurez maintenant, car vous serez dans la joie!	Lu.6:21
La parole est prčs de toi, dans ta bouche et dans ton cśur	Ro.10:8
La fin de toutes choses est proche	1Pi.4:7
Dieu était en Christ, réconciliant le monde avec lui-męme	2Co.5:19
Dieu nous a donne la vie éternellement,…et cette vie éternelle est dans son Fils	1Jn.5:11
Dieu est amour	1Jn.4:8
Dieu est lumičre et il n'y a point en lui de ténčbres	1Jn.1:5
Dieu peut vous combler de toutes sortes de grâces 	2Co.9:8
Et mon Dieu pourvoira ŕ tous vos besoins 	Ph.4:19
Dieu est notre refuge	Ps.62:9
Voici, notre Dieu que nous servons peut nous délivrer de la fournaise ardente	Da.3:17
Car c'est Dieu qui produit en vous le vouloir et le faire, selon son bon plaisir	Ph.2:13
Moi, l'Éternel, ton Dieu, je t'instruis pour ton bien	És.48:17
Oů est Dieu, mon créateur, qui inspire des chants d'allégresse pendant la nuit	Job 35:10
Que le Dieu de la persévérance.. vous donne d'avoir les męmes sentiments…	Ro.15:5
Veillez et priez, afin que vous ne tombiez pas dans la tentation	Mt.26:41
Veillez, demeurez fermes dans la foi	1Co.16:13
Garde ton coeur plus que toute autre chose	Pr.4:23
Je rappellerai les oeuvres de l'Éternel, Car je me souviens de tes merveilles d'autrefois	Ps.77:12
Je prendrai plaisir ŕ leur faire du bien	Jé.32:41
Je ferai d'elle un sujet de bénédiction	Éz.34:26
Sois fidčle jusqu'ŕ la mort, et je te donnerai la couronne de vie	Ap.2:10
Soyez pleins d'affection les uns pour les autres; par honneur, usez de prévenances réciproques	Ro.12:10
Ayez un męme sentiment, vivez en paix	2Co.13:11
Mettez en pratique la parole	Ja.1:22
Soyez saints dans toute votre conduite, selon qu'il est écrit 	1Pi.1:15
Vous serez saints, car je suis saint	1Pi.1:16
Rappelle-leur d'ętre soumis…, d'ętre pręts ŕ toute bonne oeuvre	Ti.3:1
Recevez avec douceur la parole qui a été planté en vous, et qui peut sauver vos âmes 	Ja.1:21
En lui vous avez été comblés de toutes les richesses 	1Co.1:5
Protčge-moi, ŕ l'ombre de tes ailes	Ps.17:8
Il y a beaucoup de paix pour ceux qui aiment ta loi, et il ne leur arrive aucun malheur	Ps.119:165
Les plus grandes et les plus précieuses promesses	2Pi.1:4
La foi sans śuvres est morte	Ja.2:26
Ainsi la foi vient de ce qu'on entend, et ce qu'on entend vient de la parole de Christ 	Ro.10:17
Croyez-vous que je puisse faire cela? 	Mt.9:28
Celui qui croit en elle ne sera point confus	1Pi.2:6
Leur joie sera éternelle	És.61:7
C'est devant l'Éternel ton Dieu que tu feras servir ŕ ta joie tous les biens que tu posséderas	De.12:18
Cherchez-moi, et vous vivrez!	Am.5:4
Les choses visibles sont passagčres, et les invisibles sont éternelles	2Co.4:18
Entraîne-moi aprčs toi! Nous courrons! 	Ca.1:4
Dans toutes leurs détresses ils n'ont pas été sans secours	És.63:9
Qui vous tenez dans la maison de l'Éternel, dans les parvis de la maison de notre Dieu! 	Ps.134:2
Invoque-moi, et je te répondrai	Jé.33:3
Je crie au Dieu Trčs Haut, au Dieu qui agit en ma faveur	Ps.57:3
Remets ton sort ŕ l'Éternel, et il te soutiendra 	Ps.55:23
Bien-aimé, nous sommes maintenant enfant de Dieu 	1Jn.3:2
Croissez dans la grâce 	2Pi.3:18
Béni soit Dieu et notre Seigneur J-C…qui nous a régénérés,…pour un héritage…	1Pi.1:3,4
