#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Luter Bible
#language	german

; Scripture taken from the Luter Bible. 
; Public Domain.

Und ihr, Kinder Zions, freut euch	Joel.2:23
Aber das ist meine Freude, daß ich mich zu Gott halte 	Ps.73:28
Nun aber bleibt Glaube, Hoffnung, Liebe	1Kor.13:13
Der aber alles bereitet hat, das ist Gott. 	Hebr.3:4
Habe ich's nicht getroffen, so lehre du mich's besser	Hiob.34:32
Denn der HERR ist freundlich dem, der auf sie harrt	Klgl.3:25
Daß es wohl gehen wird denen, die Gott fürchten	Pred.8:12
Gott aber sei Dank für seine unaussprechliche Gabe! 	2Kor.9:15
Gott aber sei Dank, der uns den Sieg gibt	1Kor.15:57
Laß es deinem Knecht heute gelingen	Neh.1:11
Gelobet sei der HERR täglich	Ps.68:19
Und will dich segnen… und sollst ein Segen sein. 	1Mose.12:2
Er segnet, die den HERRN fürchten	Ps.115:13
Selig ist der Mann, der die Anfechtung erduldet	Jak.1:12
Wohl dem, dem die übertretungen vergeben sind	Ps.32:1
Selig seid ihr, die ihr hier weint; denn ihr werdet lachen. 	Lk.6:21
Das Wort ist dir nahe, in deinem Munde und in deinem Herzen	Röm.10:8
Es ist aber nahe gekommen das Ende aller Dinge	1Petr.4:7
Denn Gott war in Christus und versöhnte die Welt mit sich selber	2Kor.5:19
Daß uns Gott das ewige Leben gegeben hat	1Joh.5:11
Gott ist die Liebe. 	1Joh.4:8
Gott ist Licht und in ihm ist keine Finsternis. 	1Joh.1:5
Gott aber kann machen, daß alle Gnade unter euch reichlich sei	2Kor.9:8
Mein Gott aber fülle aus alle eure Notdurft	Phlm.4:19
Gott ist unsre Zuversicht	Ps.62:8
Unser Gott, den wir ehren, kann uns wohl erretten	Dan.3:17
Denn Gott ist's, der in euch wirkt beides, das Wollen und das Vollbringen…	Phlm.2:13
Ich bin der HERR, dein Gott, der dich lehrt	Jes.48:17
Mein Schöpfer, der Lobgesänge gibt in der Nacht	Hiob.35:10
Der Gott aber der Geduld und des Trostes	Röm.15:5
Wachet und betet	Mt.26:41
Wachet, stehet im Glauben	1Kor.16:13
Behüte dein Herz mit allem Fleiß	Spr.4:23
Ja, ich gedenke an deine vorigen Wunder 	Ps.77:11
Und soll meine Lust sein, daß ich ihnen Gutes tue	Jer.32:41
Ich will sie… segnen und auf sie regnen lassen	Hes.34:26
Sei getrost bis an den Tod, so will ich dir die Krone des Lebens geben	Offb.2:10
Die brüderliche Liebe untereinander sei herzlich	Röm.12:10
Habt einerlei Sinn, haltet Frieden	2Kor.13:11
Seid aber Täter des Worts	Jak.1:22
Sollt auch ihr heilig sein in eurem ganzen Wandel	1Petr.1:15
Ihr sollt heilig sein, denn ich bin heilig.	1Petr.1:16
Zu allem guten Werk bereit seien 	Tit.3:1
Und nehmet das Wort an mit Sanftmut	Jak.1:21
Daß ihr durch ihn in allen Stücken reich gemacht seid	1Kor.1:5
Beschirme mich unter dem Schatten deiner Flügel 	Ps.17:8
Großen Frieden haben, die dein Gesetz lieben	Ps.119:165
Die teuren und allergrößten Verheißungen	2Chr.1:4
Also ist auch der Glaube ohne Werke tot	Jak.2:26
So kommt der Glaube aus der Predigt, das Predigen aber aus dem Wort Gottes	Röm.10:17
Glaubt ihr, daß ich euch solches tun kann?	Mt.9:28
Wer an ihn glaubt, der soll nicht zuschanden werden	1Petr.2:6
Sie sollen ewige Freude haben	Jes.61:7
Und sollst fröhlich sein vor dem HERRN,	5Mose.12:18
Suchet mich, so werdet ihr leben. 	Am.5:4
Denn was sichtbar ist, das ist zeitlich; was aber unsichtbar ist, das ist ewig. 	2Kor.4:18
Zieh mich dir nach, so laufen wir.	Hld.1:4
Wer sie ängstete, der ängstete ihn auch	Jes.63:9
Hebet eure Hände… und lobet den HERRN	Ps.134:2
Rufe mich an, so will ich dir antworten	Jer.33:3
Ich rufe zu Gott, dem Allerhöchsten	Ps.50:2
Wirf dein Anliegen auf den HERRN	Ps.55:22
Meine Lieben, wir sind schon Gottes Kinder	1Joh.3:2
Wachset aber in der Gnade	2Chr.3:18
Der uns.. wiedergeboren hat… zu einem unvergänglichen und unbefleckten und unverwelklichen Erbe	1Petr.1:3,4
Und nehme sein Kreuz… und folge mir nach. 	Lk.9:23
Ich gehe einher in der Kraft des HERRN HERRN	Ps.71:16
Wohlgefällige und vollkommene Gotteswille. 	Röm.12:2
Er hat uns gezeugt nach seinem Willen durch das Wort der Wahrheit,	Jak.1:18
Jetzt ist der Tag des Heils! 	2Kor.6:2
Denn ihr seid allzumal einer in Christo Jesu. 	Gal.3:28
Das tut alles zu Gottes Ehre	1Kor.10:31
Alle eure Sorge werft auf ihn	1Petr.5:7
Und alles, was mein ist, das ist dein, und was dein ist, das ist mein	Joh.17:10
Aber in dem allem überwinden wir weit um deswillen, der uns geliebt hat	Röm.8:37
Alle eure Dinge laßt in der Liebe geschehen! 	1Kor.16:14
Er hat alles wohl gemacht	Mk.7:37
Denn welche der Geist Gottes treibt, die sind Gottes Kinder	Röm.8:14
Alles, was Gott tut, das besteht immer	Pred.3:14
Und des Morgens vor Tage… betete	Mk.1:35
Wer den Namen des HERRN wird anrufen, soll selig werden	Röm.10:13
Alle gute Gabe… kommt von obenherab	Jak.1:17
Ihr ein Brief Christi seid	2Kor.3:3
Da ihr ja geschmeckt habt, daß der HERR freundlich ist	1Petr.2:3
Ihr aber seid Christi, Christus aber ist Gottes. 	1Kor.3:23
Denn ihr seid teuer erkauft	1Kor.6:20
So werdet ihr… die unvergängliche Krone der Herrlichkeit empfangen	1Petr.5:4
Wir aber haben nicht empfangen den Geist der Welt, sondern den Geist aus Gott	1Kor.2:2
Nun aber seid ihr… nahe geworden durch das Blut Christi. 	Eph.2:13
Also führte er sein Volk in Freuden	Ps.105:43
Wo aber der Geist des HERRN ist, da ist Freiheit. 	2Kor.3:17
Und wo ich bin, da soll mein Diener auch sein	Joh.12:26
Und redeten das Wort Gottes mit Freudigkeit	Apg.4:31
So jemand predigt, daß er's rede als Gottes Wort;	1Petr.4:11
Heiligt aber Gott den Herrn Christus in euren Herzen	1Petr.3:15
HERR, vor dir ist alle meine Begierde	Ps.38:9
HERR, mache dein Werk lebendig mitten in den Jahren	Hab.3:2
Du sollst anbeten Gott	Mt.4:10
Denn Gott der HERR ist meine Stärke und mein Psalm	Jes.12:2
