#BIBLE VERSE DESKTOP

#name   	Hindi Bible
#language	hindi

; Scripture taken from the Hindi Bible. 

आदि में परमेश्वर ने आकाश और पृय्वी की सृष्टि की।	उत्पत्ति 1:1
और परमेश्वर ने उजियाले को देखा कि अच्छा है; और परमेश्वर ने उजियाले को अन्धिक्कारने से अलग किया।	उत्पत्ति 1:4
और तुझे आशीष दूंगा,... और तू आशीष का मूल होगा।	उत्पत्ति 12:2
तेरी ढाल और तेरा अत्यन्त बड़ा फल मैं हूं।	उत्पत्ति 15:1
डरो मत, खड़े खड़े वह उद्धार का काम देखो	निर्गमन 14:13
मैं तेरे सम्मुख होकर चलते हुए तुझे अपक्की सारी भलाई दिखाऊंगा	निर्गमन 33:19
यहोवा, ईश्वर दयालु और अनुग्रहकारी	निर्गमन 34:6
और मैं तुम्हारे बीच अपना निवासस्यान बनाए रखूंग	लैव्यवस्था 26:11
और मैं तुम्हारे मध्य चला फिरा करूंगा, और तुम्हारा परमेश्वर बना रहूंगा	लैव्यवस्था 26:12
यहोवा कोप करने में धीरजवन्त और अति करूणामय है	गिनती 14:18
तू अपके परमेश्वर यहोवा से अपके सारे मन...के साय प्रेम रखना।	व्यवस्थाविवरण 6:5
तुम मेरे थे वचन अपके अपके मन और प्राण में धारण किए रहना	व्यवस्थाविवरण 11:18
तू अपके परमेश्वर यहोवा के साम्हने...  आनन्द करना।	व्यवस्थाविवरण 12:18
धन्य हो तू नगर में, धन्य हो तू खेत में।	व्यवस्थाविवरण 28:3
धन्य हो तेरी सन्तान, और तेरी भूमि की उपज	व्यवस्थाविवरण 28:4
धन्य हो तेरी टोकरी और तेरी कठौती।	व्यवस्थाविवरण 28:5
धन्य हो तू भीतर आते समय, और धन्य हो तू बाहर जाते समय।	व्यवस्थाविवरण 28:6
वे एक मार्ग से तुझ पर चढ़ाई करेंगे, परन्तु तेरे साम्हने से सात मार्ग से होकर भाग जाएंगे।	व्यवस्थाविवरण 28:7
यहोवा तुझ को पुंछ नहीं, किन्तु सिर ही ठहराएगा	व्यवस्थाविवरण 28:13
तू हियाव बान्ध और दृढ़ हो, उन से न डर और न भयभीत हो	व्यवस्थाविवरण 31:6
और न तो मैं तुझे धोखा दूंगा, और न तुझ को छोडूंगा।	यहोशू 1:5
इतना हो कि तू हियाव बान्धकर और बहुत दृढ़ होकर	यहोशू 1:7
व्यवस्या की यह पुस्तक तेरे चित्त से कभी न उतरने पाए	यहोशू 1:8
क्या मैं ने तुझे आज्ञा नहीं दी? हियाव बान्धकर दृढ़ हो जा	यहोशू 1:9
भय न खा, और तेरा मन कच्चा न हो; क्योंकि... तेरा परमेश्वर यहोवा तेरे संग रहेगा।।	यहोशू 1:9
तुम अपके आप को पवित्र करो; क्योंकि कल के दिन यहोवा तुम्हारे मध्य में आश्चर्यकर्म करेगा।	यहोशू 3:5
तुम्हारा परमेश्वर यहोवा अपके वचन के अनुसार तुम्हारी ओर से लड़ता है।	यहोशू 23:10
नहीं; हम यहोवा ही की सेवा करेंगे।	यहोशू 24:21
जो वाचा मैं ने तुम से बान्धी है, उसे मैं कभी न तोडूंगा	न्यायियों 2:1
उसके प्रेमी लोग प्रताप के साय उदय होते हुए सूर्य के समान तेजोमय हों।।	न्यायियों 5:31
तेरे लोग मेरे लोग होंगे, और तेरा परमेश्वर मेरा परमेश्वर होगा	रूत 1:16
वह अपके भक्तोंके पावोंको सम्भाले रहेगा	1 शमूएल 2:9
केवल इतना हो कि तुम लोग यहोवा का भय मानो, और सच्चाई से अपके सम्पूर्ण मान के साय उसकी उपासना करो	1 शमूएल 12:24
मैं तुझे जता दूंगा कि तुझ को क्या करना है	1 शमूएल 16:3
मनुष्य तो बाहर का रूप देखता है, परन्तु यहोवा की दृष्टि मन पर रहती है।	1 शमूएल 16:7
उस ने तो मेरे साय सदा की ... वाचा बान्धी है	2 शमूएल 23:5
तू अपके दास को ... शक्ति दे	1 राजा 3:9
अपके परमेश्वर यहोवा का भय पानना, वही तुम को... बचाएगा।	2 राजा 17:39
तू… परमेश्वर का ज्ञान रख, और खरे मन और प्रसन्न जीव से उसकी सेवा करता रह	1 इतिहास 28:9
यहोवा मन को जांचता और विचार में जो कुछ उत्पन्न होता है उसे समझता है।	1 इतिहास 28:9
यदि तू उसकी खोज में रहे, तो वह तुझ को मिलेगा	1 इतिहास 28:9
यहोवा तुझे इस से भी बहुत अधिक दे सकता है।	2 इतिहास 25:9
यदि तुम उसकी ओर फिरोगे तो वह अपना मुंह तुम से न मोड़ेगा।	2 इतिहास 30:9
वह उस ने अपना सारा मन लगाकर किया और उस में कृतार्य भी हुआ।	2 इतिहास 31:21
हमारा परमेश्वर अपके सब खोजियोंपर, भलाई के लिथे कृपादृष्टि रखता है	एज्रा 8:22
यहोवा का आनन्द तुम्हारा दृढ़ गढ़ है।	नहेमायाह 8:10
तुझे ऐसे ही कठिन समय के लिथे राजपद मिल गया हो?	एस्तेर 4:14
मुझे तो निश्चय है, कि मेरा छुड़ानेवाला जीवित है	अय्यूब 19:25
तब उस न मनुष्य से कहा, देख, प्रभु का भय मानना यही बुद्धि है	अय्यूब 28:28
क्या ही धन्य है वह पुरूष जो दुष्टोंकी युक्ति पर नहीं चलता	भजन संहिता 1:1
यहोवा धर्मियोंका मार्ग जानता है	भजन संहिता 1:6
डरते हुए यहोवा की उपासना करो, और कांपके हुए मगन हो।	भजन संहिता 2:11
धन्य है वे जिनका भरोसा उस पर है।।	भजन संहिता 2:12
परन्तु हे यहोवा, तू तो मेरे चारोंओर मेरी ढ़ाल है, तू मेरी महिमा	भजन संहिता 3:4
हे यहोवा,... अपके धर्म के मार्ग में मेरी अगुवाई कर	भजन संहिता 5:9
क्योंकि तू धर्मी को आशिष देगा; हे यहोवा	भजन संहिता 5:13
धर्मी परमेश्वर मन ... का ज्ञाता है।	भजन संहिता 7:10
हे यहोवा परमेश्वर मैं अपके पूर्ण मन से तेरा धन्यवाद करूंगा	भजन संहिता 9:2
यहोवा तू ने अपके खोजियोंको त्याग नहीं दिया।।	भजन संहिता 9:11
यहोवा अनन्तकाल के लिथे महाराज है	भजन संहिता 9:37
तू ने नम्र लोगोंकी अभिलाषा सुनी है	भजन संहिता 9:38
यहोवा मेरा भाग और मेरे कटोरे का हिस्सा है	भजन संहिता 15:5
अपके पंखोंके तले मुझे छिपा रख	भजन संहिता 16:8
हे परमेश्वर, हे मेरे बल, मैं तुझ से प्रेम करता हूं।	भजन संहिता 17:1
यहोवा मेरी चट्टान, और मेरा गढ़ और मेरा छुड़ानेवाला है	भजन संहिता 17:3
तू ही मेरे दीपक को जलाता है	भजन संहिता 17:29
मेरा परमेश्वर यहोवा मेरे अन्धिक्कारने को उजियाला कर देता है।	भजन संहिता 17:29
यह वही ईश्वर है, जो सामर्थ से मेरा कटिबन्ध बान्धता है	भजन संहिता 17:33
यहोवा परमेश्वर जीवित है; मेरी चट्टान धन्य है	भजन संहिता 17:47
यहोवा परमेश्वर जीवित है; मेरी चट्टान धन्य है	भजन संहिता 17:47
आकाश ईश्वर की महिमा वर्णन कर रहा है; और आकशमण्डल उसकी हस्तकला को प्रगट कर रहा है।	भजन संहिता 18:1
यहोवा की व्यवस्था खरी है, वह प्राण को बहाल कर देती है	भजन संहिता 18:8
यहोवा के नियम विश्वासयोग्य हैं, साधारण लोगोंको बुद्धिमान बना देते हैं	भजन संहिता 18:8
यहोवा के उपकेश सिद्ध हैं, हृदय को आनन्दित कर देते हैं	भजन संहिता 18:9
यहोवा की आज्ञा निर्मल है, वह आंखोंमें ज्योति ले आती है	भजन संहिता 18:9
यहोवा का भय पवित्रा है, वह अनन्तकाल तक स्थिर रहता है	भजन संहिता 18:10
यहोवा के नियम सत्य और पूरी रीति से धर्ममय हैं।	भजन संहिता 18:10
किसी को रथोंको, और किसी को घोड़ोंका भरोसा है, परन्तु हम तो अपके परमेश्वर यहोवा ही का नाम लेंगे।	भजन संहिता 19:8
जो यहोवा के खोजी हैं, वे उसकी स्तुति करेंगे।	भजन संहिता 21:27
पृथ्वी के सब दूर दूर देशोंके लोग उसको स्मरण करेंगे और उसकी ओर फिरेंगे	भजन संहिता 21:28
एक वंश उसकी सेवा करेगा	भजन संहिता 21:31
