#BIBLE VERSE DESKTOP
 
#name   	Russian Synodal Bible
#copyright	Public Domain
#language	russian 
#charset	russian

; В программе использованны цитаты,
; взятые из Русской Синоидальной Библии.

В начале сотворил Бог небо и землю	Быт.1:1
И увидел Бог свет, что он хорош, и отделил Бог свет от тьмы.	Быт.1:4
Благословлю тебя… и будешь ты в благословение	Быт.12:2
Я твой щит; награда твоя весьма велика	Быт.15:1
Не бойтесь, стойте-и увидите спасение Господне	Исх.14:13
Я проведу пред тобою всю славу Мою	Исх.33:19
Господь, Бог человеколюбивый и милосердный	Исх.34:6
И поставлю жилище Мое среди вас	Лев.26:11
И буду ходить среди вас и буду вашим Богом	Лев.26:12
Господь долготерпелив и многомилостив	Числ.14:18
Люби Господа, Бога твоего, всем сердцем твоим	Втор.6:5
Положите сии слова Мои в сердце ваше и в душу вашу	Втор.11:18
Веселись пред Господом, Богом твоим	Втор.12:18
Благословен ты в городе и благословен на поле	Втор.28:3
Благословен плод чрева твоего, и плод земли твоей	Втор.28:4
Благословенны житницы твои и кладовые твои	Втор.28:5
Благословен ты при входе твоем и благословен ты при выходе	Втор.28:6
Одним путем… выступят против тебя, а семью путями побегут от тебя	Втор.28:7
Сделает тебя Господь главою, а не хвостом	Втор.28:13
Будьте тверды и мужественны, не бойтесь, и не страшитесь	Втор.31:6
Не отступлю от тебя и не оставлю тебя	Иис.1:5
Только будь тверд и очень мужествен	Иис.1:7
Да не отходит сия книга закона от уст твоих	Иис.1:8
Вот Я повелеваю тебе: будь тверд и мужествен	Иис.1:9
Не страшись и не ужасайся; ибо с тобою Господь Бог твой	Иис.1:9
Освятитесь, ибо завтра сотворит Господь среди вас чудеса	Иис.3:5
Господь Бог ваш Сам сражается за вас	Иис.23:10
Нет, мы Господу будем служить	Иис.24:21
Не нарушу завета Моего с вами вовек	Суд.2:1
Любящие же Господа да будут как солнце, восходящее во всей силе своей!	Суд.5:31
Народ твой будет моим народом, и твой Бог-моим Богом	Руфь.1:16
Стопы святых Своих Он блюдет	1Цар.2:9
Только бойтесь Господа и служите Ему истинно, от всего сердца	1Цар.12:24
Я укажу тебе, что делать тебе	1Цар.16:3
Человек смотрит на лице, а Господь смотрит на сердце	1Цар.16:7
Завет вечный положил Он со мною	2Цар.23:5
Даруй же рабу Твоему сердце разумное	3Цар.3:9
Господа Бога вашего чтите, и Он избавит вас	4Цар.17:39
Знай Бога… и служи Ему от всего сердца и от всей души	1Пар.28:9
Господь испытует все сердца и знает все движения мыслей	1Пар.28:9
Если будешь искать Его, то найдешь Его	1Пар.28:9
Может Господь дать тебе более сего	2Пар.25:9
И не отвратит лица от вас, если вы обратитесь к Нему	2Пар.30:9
Он действовал от всего сердца своего, и имел успех	2Пар.31:21
Рука Бога нашего для всех прибегающих к Нему есть благодеющая	Езд.8:22
Радость пред Богом- подкрепление для вас	Неем.8:10
Не для такого ли времени ты и достигла достоинства царского?	Есф.4:14
Он еще наполнит смехом уста твои и губы твои радостным восклицанием	Иов 8:21
