#BIBLE VERSE DESKTOP

#name   	Thai Bible
#language	thai
#charset	thai

; Scripture taken from the Thai Bible. 

โอ  บุตรทั้งหลายของศิโยนเอ๋ยจงยินดีเถิด	ยอล.2:23  
แต่ส่วนข้าพระองค์  ที่จะเข้าใกล้พระเจ้านั้นดี	สดด.73:28 
ดังนั้นยังตั้งอยู่สามสิ่ง  คือความเชื่อ  ความหวังใจ  และความรัก	1คร.13:13 
แต่ว่าต้นเหตุของสรรพสิ่งทั้งปวงก็คือพระเจ้า	ฮบ.3:4
โปรดสอนข้าพระองค์ถึงสิ่งที่ข้าพระองค์มองไม่เห็น	โยบ.34:32
พระเจ้าทรงดีต่อคนทั้งปวงที่คอยท่าพระองค์อยู่	พคค.3:25
ความสวัสดิมงคลจะมีแก่เขาทั้งหลายที่ยำเกรงพระเจ้า	ปญจ.8:12
จงขอบพระคุณพระเจ้า  เพราะของประทานซึ่งพระองค์ทรงประทานนั้น	2คร. 9:15
สาธุการแด่พระเจ้าผู้ทรงประทานชัยชนะแก่เราทั้งหลาย	1คร.15:57
ขอประทานความสำเร็จแก่ผู้รับใช้ของพระองค์ในวันนี้	นหม.1:11
สาธุการแด่องค์พระผู้เป็นเจ้า  ผู้ทรงค้ำชูเราทั้งหลายอยู่ทุกวัน	สดด.68:19
เราจะอวยพรแก่เจ้า  จะให้เจ้ามีชื่อเสียงใหญ่โตเลื่องลือไป  แล้วเจ้าจะช่วยให้ผู้อื่นได้รับพร	ปฐก.12:2
พระองค์จะทรงอำนวยพระพรแก่บรรดาผู้ที่ยำเกรงพระเจ้า	สดด.115:13
คนที่อดทนต่อการทดลองใจก็เป็นสุข	ยก.1:12
บุคคลผู้ซึ่งได้รับอภัยการละเมิดแล้วก็เป็นสุข  คือผู้ทรงกลบเกลื่อนบาปให้นั้น	สดด.32:1
ท่านทั้งหลายที่ร้องไห้เวลานี้ก็เป็นสุข  เพราะว่าท่านจะได้หัวเราะ	ลก. 6:21
ถ้อยคำนั้นอยู่ใกล้ท่าน  อยู่ในปากของท่าน  และอยู่ในใจของท่าน	รม.10:8
จงรู้จักสงบใจเพื่อแก่การอธิษฐาน	1ปต.4:7
คือพระเจ้าทรงให้โลกนี้คืนดีกันกับพระองค์โดยพระคริสต์	2คร.5:19
พระเจ้าได้ทรงโปรดประทานชีวิตนิรันดร์ให้เราทั้งหลาย	1ยน.5:11
พระเจ้าทรงเป็นความรัก		1ยน.4:8
พระเจ้าทรงเป็นความสว่าง  และความมืดในพระองค์ไม่มีเลย	1ยน.1:5
พระเจ้าทรงฤทธิ์อาจประทานของดีทุกสิ่งอย่างอุดมแก่ท่านทั้งหลาย	2คร. 9:8
พระเจ้าของข้าพเจ้าจะประทานสิ่งสารพัดที่พวกท่านขาดอยู่นั้น		ฟป.4:19
พระเจ้าทรงเป็นที่ลี้ภัยของเรา	สดด.62:8
พระองค์ก็จะทรงช่วยกู้พวกข้าพระบาท	ดนล. 3:17
พระเจ้าเป็นผู้ทรงกระทำกิจอยู่ภายในท่าน  ให้ท่านมีใจปรารถนาทั้งให้ประพฤติตามชอบพระทัยของพระองค์	ฟป.2:13
เราคือพระเยโฮวาห์พระเจ้าของเจ้า  ผู้สั่งสอนเจ้าเพื่อประโยชน์ของเจ้า	อสย.48:17
พระเจ้าผู้ทรงสร้างข้าพเจ้า  ผู้ทรงประทานเพลงในเวลากลางคืน		โยบ.35:10
ขอพระเจ้าแห่งความเพียรและความชูใจ	รม.15:5
จงเฝ้าระวังและอธิษฐาน	มธ.26:41
จงระมัดระวัง  จงมั่นคงในความเชื่อของท่าน	1คร.16:13
จงรักษาใจของเจ้าด้วยความระวังระไวรอบด้านเพราะชีวิตเริ่มต้นออกมาจากใจ	สภษ.4:23
ข้าพระองค์จะจดจำบรรดาการอัศจรรย์ของพระองค์ในสมัยก่อน ๆ	สดด.77:11
เออ  เราจะเปรมปรีดิ์ในการที่จะกระทำความดีแก่เขา	ยรม.32:41
เราจะส่งฝนลงมาให้ตามฤดูกาล  เป็นห่าฝนแห่งพระพร	อสค.34:26
เจ้าจงมีใจมั่นคงอยู่ตราบเท่าวันตาย  และเราจะมอบมงกุฎแห่งชีวิตให้แก่เจ้า	วว.2:10
จงรักกันฉันพี่น้อง  ส่วนการที่ให้เกียรติแก่กันและกันนั้น	รม.12:10
จงเป็นน้ำหนึ่งใจเดียวกัน  จงอยู่ร่วมกันอย่างสันติ	2คร.13:11
ท่านทั้งหลายจงเป็นคนที่ประพฤติตามพระวจนะนั้น  ไม่ใช่เป็นแต่เพียงผู้ฟังเท่านั้น	ยก.1:22
ท่านทั้งหลายจงประพฤติให้บริสุทธิ์พร้อมทุกประการ	1ปต.1:15
ท่านทั้งหลายจงเป็นคนบริสุทธิ์  เพราะเราบริสุทธิ์	1ปต.1:16
ให้เชื่อฟังและพร้อมที่จะปฏิบัติงานสัมมาอาชีพใดๆ	ทต.3:1
จงน้อมใจรับพระวจนะที่ทรงปลูกฝังไว้	ยก.1:21
ท่านทั้งหลายพรั่งพร้อมด้วยทุกสิ่งทุกอย่างในพระองค์	1.คร1:5
ทรงซ่อนข้าพระองค์ไว้ภายใต้ร่มปีกของพระองค์	สดด.17:8
บุคคลเหล่านั้นที่รักพระธรรมของพระองค์  มีสันติภาพใหญ่ยิ่ง	สดด.119:165
ท่านทั้งหลายจะพ้นจากความเสื่อมโทรม  ที่มีอยู่ในโลกนี้เพราะตัณหา	2ปต.1:4
ความเชื่อที่ปราศจากการประพฤติตามก็ไร้ผลฉันนั้น	ยก. 2:26
ฉะนั้นความเชื่อเกิดขึ้นได้ก็เพราะการได้ยิน	รม.10:17
เจ้าเชื่อหรือว่า  เรามีอิทธิฤทธิ์จะกระทำการนี้ได้	มธ.9:28
ผู้ใดที่เชื่อในพระองค์ก็จะไม่ได้รับความอับอาย	1ปต.2:6 
เขาทั้งหลายจะเปรมปรีดิ์ในส่วนของเขา	อสย.61:7
ท่านจงปีติร่าเริงต่อพระเยโฮวาห์พระเจ้าของท่านในบรรดากิจการซึ่งท่านได้กระทำนั้น	ฉธบ.12:18
จงแสวงหาเราและดำรงชีวิตอยู่	อมส.5:4
เพราะว่าสิ่งของซึ่งมองเห็นอยู่นั้นเป็นของไม่ยั่งยืน  แต่สิ่งซึ่งมองไม่เห็นนั้นก็ถาวรนิรันดร์	2คร.4:18
พระราชาได้นำดิฉันไปในห้องโถงของพระองค์  เราจะเต้นโลดและเปรมปรีดิ์ในตัวเธอ	พซม.1:4
ทูตสวรรค์ที่อยู่ต่อพระพักตร์พระองค์ช่วยเขาทั้งหลายให้รอด	อสย. 63:9
จงยกมือของท่านขึ้นตรงต่อสถานนมัสการ  และถวายสาธุการแด่พระเจ้า	สดด.134:2
จงทูลเรา  และเราจะตอบเจ้า	ยรม.33:3
ข้าพเจ้าร้องทูลต่อพระเจ้าองค์ผู้สูงสุด  ต่อพระเจ้าผู้ทรงกระทำการให้สำเร็จเพื่อข้าพเจ้า	สดด.57:2
พระองค์จะไม่ทรงยอมให้  คนชอบธรรมคลอนแคลนเลย	สดด.55:22
ท่านที่รักทั้งหลาย  บัดนี้เราทั้งหลายเป็นบุตรของพระเจ้า	1ยน.3:2
่ขอท่านทั้งหลายจงเจริญขึ้นในพระคุณ	2ปต.3:18
สาธุการแด่พระเจ้าพระบิดา...เพื่อให้ได้รับมรดก  ซึ่งไม่รู้เปื่อยเน่า  ปราศจากมลทิน  และไม่ร่วงโรย	1ปต.1:3-4
รับกางเขนของตนแบกทุกวัน และตามเรามา	ลก.9:23
ข้าพระองค์จะไปด้วยพระกำลังขององค์พระผู้เป็นเจ้าพระเจ้า	สดด.71:16
จะได้ทราบพระประสงค์ของพระเจ้าว่าอะไรดี อะไรเป็นที่ชอบพระทัย และอะไรดียอดเยี่ยม	รม.12:2
พระองค์ก็ได้ทรงให้เราทั้งหลายบังเกิดโดยพระวจนะแห่งความจริง	ยก.1:18
ดูเถิด บัดนี้เป็นวันแห่งความรอด	2คร.6:2
เพราะว่าท่านทั้งหลายเป็นอันหนึ่งอันเดียวกันในพระเยซูคริสต์	กท.3:28
จงกระทำเพื่อเป็นการถวายพระเกียรติแด่พระเจ้า	1คร.10:31
เพราะว่าพระองค์ทรงห่วงใยท่านทั้งหลาย	1ปต.5:7
