#BIBLE VERSE DESKTOP

#name   	Turkish Bible
#language	turkish

; Scripture taken from the Turkish Bible. 

Ey Siyon halkı, Tanrınız RABde sevinç bulun, coşun.	Yoel 2:23
Ama benim için en iyisi Tanrı'ya yakın olmaktır	Mezmurlar 72:28
İşte kalıcı olan üç şey vardır: İman, umut, sevgi	1 Korintliler 13:13
Her şeyin yapıcısı ise Tanrıdır.	İbraniler 3:4
Göremediğimi sen bana öğret	Eyüp 34:32
RAB kendisini bekleyenler, Onu arayan canlar için iyidir.	Ağıtlar 3:25
 Tanrıdan korkanların, Onun önünde duranlar iyilik göreceğ	Vaiz 8:12
Sözle anlatılamayan armağanı için Tanrı'ya şükürler olsun!	2 Korintliler 9:15
İsa Mesih aracılığıyla bizi zafere ulaştıran Tanrıya şükürler olsun	1 Korintliler 15:57
Beni bugün başarılı kıl ve kralın önerimi kabul etmesini sağla	Nehemya 1:11
Her gün bizi kurtaran Tanrıya övgüler olsun	Mezmurlar 67:20
Seni büyük bir ulus yapacağım bereket kaynağı olacaksın	Yaratılış 12:2
Kendisinden korkan herkesi kutsayacak.	Mezmurlar 113:21
Denemeden başarıyla çıktığı zaman Rabbi sevenler yaşam tacını alacaktır	Yakup 1:12
Ne mutlu isyanı bağışlanan, Günahı örtülen insana	Mezmurlar 31:1
Ne mutlu size, şimdi ağlayanlar!  Çünkü güleceksiniz.	Luka 6:21
Tanrı sözü sana yakındır,  Ağzında ve yüreğindedir	Romalılar 10:8
Her şeyin sonu yakındır	1 Petrus 4:7
Tanrı, insanları Mesihte kendisiyle barıştırdı	2 Korintliler 5:19
Tanrı bize sonsuz yaşam verdi, bu yaşam Onun Oğlundadır	1 Yuhanna 5:11
Tanrı sevgidir	1 Yuhanna 4:8
Tanrı ışıktır, Onda hiç karanlık yoktur.	1 Yuhanna 1:5
Tanrı her nimeti size bol bol sağlayacak güçtedir.	2 Korintliler 9:8
Tanrım her ihtiyacınızı kendi zenginliğiyle karşılayacaktır	Filimon 4:19
Tanrı sığınağımızdır	Mezmurlar 61:9
‹‹Kızgın fırına atılsak bile,Tanrı bizi kızgın fırından kurtarabilir	Daniel 3:17
Hem istemeniz hem de yapmanız için sizde etkin olan Tanrıdır	Filimon 2:13
Yararlı olanı size öğreten yolda sizi yürüten Tanrınız RAB benim.	Yeşaya 48:17
Tanrı gece bize ezgiler verir	Eyüp 35:10
Sabır ve cesaret kaynağı olan Tanrıdi 	Romalılar 15:5
‹‹Uyanık durup dua edin	Matta 26:41
Uyanık kalın, imanda dimdik durun, mert ve güçlü olun	1 Korintliler 16:13
Her şeyden önce de yüreğini koru, Çünkü yaşam ondan kaynaklanır.	Süleyman'ın Özdeyişleri 4:23
RABbin işlerini anacağım,geçmişteki harikalarını anacağım	Mezmurlar 76:12
Onlara iyilik etmekten sevinç duyacağım	Yeremya 32:41
Bereketli yağmurlar olacak.	Hezekiel 34:26
 Ölüm pahasına da olsa sadık kal, sana yaşam tacını vereceğim	Vahiy 2:10
Birbirinize kardeşlik sevgisiyle bağlı olun saygı göstermekte yarışın	Romalılar 12:10
Düşüncelerinizde birlik olun, esenlik içinde yaşayın	2 Korintliler 13:11
Tanrı sözünü uygulayıcıları olun	Yakup 1:22
Tanrı kutsal olduğuna göre, siz de davranışınızda kutsal olun	1 Petrus 1:15
Kutsal olun, çünkü ben kutsalım	1 Petrus 1:16
Iyi olan her şeyi yapmaya hazır olmalarıni imanlılara anımsat	Titus 3:1
Içinize ekilmiş sözü alçakgönüllülükle kabul edin	Yakup 1:21
Mesihte her bakımdan zenginleştiniz	1 Korintliler 1:5
Kanatlarının gölgesine gizle beni	Mezmurlar 16:8
Yasanı sevenler büyük esenlik bulur	Mezmurlar 118:165
Onun yüceliği sayesinde bize büyük ve değerli verildi	2 Petrus 1:4
Eylemsiz iman ölüdür	Yakup 2:26
Iman haberi duymakla, duymak da sözün yayılmasıyla olur	Romalılar 10:17
İstediğinizi yapabileceğime inanıyor musunuz	Matta 9:28
Ona iman eden hiç utandırılmayacak	1 Petrus 2:6
Utanç yerine Sevinciniz sonsuz olacak	Yeşaya 61:7
Tanrınız RABbin huzurunda sevinç bulacaksınız	Yasa'nın Tekrarı 12:18
Bana yönelin, yaşarsınız	Amos 5:4
Görünenler geçicidir, görünmeyenlerse sonsuza dek kalıcıdır	2 Korintliler 4:18
Al götür beni, haydi koşalım	Ezgiler Ezgisi П.1:4
Sıkıntı çektiklerinde onları kurtardı	Yeşaya 63:9
Ellerinizi kutsal yere doğru kaldırıp RABbe övgüler sunun	Mezmurlar 134:2
‹Bana yakar da seni yanıtlayayım	Yeremya 33:3
Benim için her şeyi yapan Tanrıya sesleniyorum	Mezmurlar 56:3
Yükünü RABbe bırak, O sana destek olur	Mezmurlar 54:23
Sevgili kardeşlerim, daha şimdiden Tanrının çocuklarıyız	1 Yuhanna 3:2
Mesih'in lütfunda ve O'nu tanımakta ilerleyin	2 Petrus 3:18
Buralarda yabancı olarak yaşayan seçilmişlere selam	1 Petrus 1:3,4
Ardımdan gelmek isteyen çarmıhını yüklenip beni izle	Luka 9:23
Ey RAB, gelip yalnız senin zaferini duyuracağım	Mezmurlar 70:16
Tanrının isteği iyi ve yetkinlikdir	Romalılar 12:2
O,bizleri kendi isteğiile gerçeğin bildirisiyle kavuşturdu	Yakup 1:18
Kurtuluş günü sana yardım ettim	2 Korintliler 6:2
Hepiniz Mesih İsada birsiniz	Galatyalılar 3:28
Her şeyi Tanrının yüceliği için yapın	1 Korintliler 10:31
Bütün kaygılarınızı Ona yükleyin	1 Petrus 5:7
Benim olan her şey senindir, seninkiler de benimdir	Yuhanna 17:10
Bizi sevenin aracılığıyla durumların hepsinde galiplerden üstünüz	Romalılar 8:37
Her şeyi sevgiyle yapın.	1 Korintliler 16:14
Yaptığı her şey iyi	Markos 7:37
Tanrının Ruhuyla yönetilenlerin hepsi Tanrının oğullarıdır.	Romalılar 8:14
Tanrının yaptığı her şeyin sonsuza dek süreceğ	Vaiz 3:14
Sabah çok erkenden kalktı,dua etmeye başladı	Markos 1:35
Rabbi adıyla çağıran herkes kurtulacak	Romalılar 10:13
Her nimet,mükemmel armağan yukarıdan gelir	Yakup 1:17
Siz Mesihin mektubusuz	2 Korintliler 3:3
Çünkü Rabbin iyiliğini tattınız	1 Petrus 2:3
Siz Mesih'insiniz, Mesih de Tanrı'nındır	1 Korintliler 3:23
Bir bedel karşılığı satın alındınız	1 Korintliler 6:20
Yüceliğin solmaz tacına kavuşacaksınız	1 Petrus 5:4
Siz bu dünyanın ruhunu değil,Tanrıdan gelen Ruhu aldık	1 Korintliler 2:12
Siz Mesihin kanı sayesinde yakın kılındınız	Efesliler 2:13
Halkını sevinç içinde çıkardı	Mezmurlar 104:43
Rabbin Ruhu neredeyse orada özgürlük vardır	2 Korintliler 3:17
Ben neredeysem bana hizmet eden de orada olacak	Yuhanna 12:26
Tanrının sözünü cesaretle duyurmaya devam ettiler	Elçilerin İşleri 4:31
Konuşan,Tanrının sözlerini iletir gibi konuşsun	1 Petrus 4:11
Mesihi Rab olarak yüreklerinizde kutsayın	1 Petrus 3:15
İnliyorum yüreğimin acısından	Mezmurlar 37:10
Ya RAB, ününü duydum ve yaptıklarını günümüzde de yap	Habakkuk 3:2
Tanrın Rabbe tapacak, yalnız Ona kulluk edeceksin	Matta 4:10
Çünkü RAB gücümüz ve ezgimizdir	Yeşaya 12:2
RAB halkına güç verir, Halkını esenlikle kutsar	Mezmurlar 28:11
RAB Tanrı bir güneş, bir kalkandır	Mezmurlar 83:12
RAB sonsuza dek kalıcı kayadır	Mezmurlar 26:4
RAB sonsuz ışığın olacak	Yeşaya 60:20
RAB kendi halkı için sığınak,kale olacak	Yoel 3:16
RAB çok şefkatli ve merhametlidir	Yakup 5:11
RAB hepimizin cezasını ona yükledi	Yeşaya 53:6
RAB Tanrı Lütuf ve yücelik sağlar	Mezmurlar 83:12
RAB korur kendisine sığınanları	Nahum 1:7
RAB her şeyi yapar benim için	Mezmurlar 137:8
RAB, acıyan, lütfeden,insan sevendir 	Mısır'dan Çıkış 34:6
RAB diyor ki günahlarını artık anmayacağım	Yeremya 31:34
Tanrımız geliyor, sessiz kalmayacak	Mezmurlar 49:3
Rabbin istediği olsun	Elçilerin İşleri 21:14
Sevgin beni avutsun.	Mezmurlar 118:76
Elin bana yardıma hazır olsun	Mezmurlar 118:173
Çadırında sonsuza dek oturmak isterim	Mezmurlar 60:5
Tanrının hizmetinde verimli olun	Romalılar 7:4
Yalnız hiç kuşku duymadan, imanla istesin	Yakup 1:6
Kimin eksiği varsa,azarlamadan veren Tanrıdan istesin	Yakup 1:5
Öyle ki, bizler oğulluk hakkını alalım	Galatyalılar 4:5
Tanrı'nın armağanı sonsuz yaşamdır	Romalılar 6:23
Karşılıksız aldınız, karşılıksız verin	Matta 10:8
Tanrının armağanları ve çağrısı geri alınamaz	Romalılar 11:29
Imanı eylemlerle birlikte etkindi imanı eylemleriyle tamamlandı	Yakup 2:22
Doğruluğun ürünü esenlik,sonucu güven olacaktır	Yeşaya 32:17
Cesur ol, oğlum, günahların bağışlandı	Matta 9:2
Rabbimizin sabrını kurtuluş fırsatı sayın	2 Petrus 3:15
Sabredin yüreklerinizi güçlendirin	Yakup 5:8
Sonsuza dek yaşar insan, Mezar yüzü görmez	Mezmurlar 48:9
Fırsatı değerlendirin.Çünkü yaşadığımız günler kötüdür	Efesliler 5:16
Sevginin ardınca koşun ve ruhsal armağanları isteyin	1 Korintliler 14:1
Boğazlanmış Kuzu  Gücü övgüye layıktır	Vahiy 5:12
Eski şeyler geçmiş, her şey yeni olmuştur	2 Korintliler 5:17
Tanrının yüce Ruhu üzerinizde bulunuyor	1 Petrus 4:14
Ruhta ateşli olun.Rabbe kulluk edin	Romalılar 12:11
Çünkü tek Tanrı ve Tanrıyla insanlar arasında tek aracı vardır	1 Timoteos 2:5
Tanrı bizden yanaysa, kim bize karşı olabilir	Romalılar 8:31
Eğer Ona yönelirsen, kendisini sana buldurur	1 Tarihler 28:9
Gelecek olan pek yakında gelecek  Ve gecikmeyecek	İbraniler 10:37
Yaşamınız Mesihle birlikte Tanrıda saklıdır	Koloseliler 3:3
RAB doğruların oturduğu yeriyse kutsar	Süleyman'ın Özdeyişleri 3:33
Tanrı sonsuza dek güvenilir bir antlaşma yaptı 	2 Samuel 23:5
Siz vaat edilen Kutsal Ruhla Onda mühürlendiniz	Efesliler 1:13
RAB doğruların yolunu gözetir	Mezmurlar 1:6
Babanız nelere gereksinmeniz olduğunu siz daha önce bilir	Matta 6:8
