#BIBLE VERSE DESKTOP
 
#name   	Ukrainian Bible
#copyright	Public Domain
#language	ukrainian

; В программе использованны цитаты,
; взятые из Украинской Библии.

А ви, діти Сіона, радійте	Іоїл.2:23
Близькість Бога для мене добро!	Пс.72:28
А тепер перебувають ці три: віра, надія і любов	1Кор.13:13
Той, Хто все збудував - Бог	Євр.3:4
А що я не знаю. Ти навчи мене	Іов 34:32
Благ Господь до тих, хто сподівається на Нього	Плач.3:25
Благо буде тим, хто боїться Бога	Еккл.8:12
Дяка Богові за невимовний дар Його!	2Кор.9:15
Подяка Богові, Який дав нам перемогу	1Кор.15:57
Благопоспішай рабу Твоєму тепер	Неєм.1:11
Благословенний Господь усякий день	Пс.67:20
Благословлю тебе... і будеш ти в благословення	Бут.12:2
Поблагословить Він тих, хто має до Господа страх	Пс.113:21
Блаженна людина, яка витримає спокусу	Як.1:12
Блаженний... кому гріх закрито!	Пс.31:1
Блаженні ті, що плачуть тепер, бо втішитесь	Лк.6:21
Слово близько до тебе, в устах твоїх і в серці твоїм	Рим.10:8
Наблизився всьому кінець	1Петр.4:7
В Христі Бог примирив с Собою світ	2Кор.5:19
Бог дав нам життя вічне	1Ін.5:11
Бог є любов	1Ін.4:8
Бог є світло, і немає в Ньому ніякої темряви	1Ін.1:5
Бог спроможний всякою благодаттю збагатити вас	2Кор.9:8
Бог мій нехай сповнить усяку потребу вашу	Фил.4:19
Бог для нас - пристановище	Пс.61:9
Бог наш, Якому ми служимо, сильний врятувати нас	Дан.3:17
Бог викликає у вас і бажання і дії...	Фил.2:13
Бог твій, що навчає тебе корисному	Іс.48:17
Бог, творець Мій, Що дає пісні в ночі	Іов 35:10
Бог... терпіння і втішення	Рим.15:5
Пильнуйте і моліться	Мт.26:41
Пильнуйте, стійте у вірі	1Кор.16:13
Більше всього збереженого зберігай серце твоє	Прит.4:23
Пригадаю я вчинки Господні, як чудо Твоє я згадаю віддавна	Пс.76:12
Буду радіти про них, благостворюючи їм	Єр.32:41
Будуть дощі благословення	Єз.34:26
Будь вірний до смерті, і дам тобі вінець життя	Об.2:10
Будьте братолюбні один до одного з ніжністю	Рим.12:10
Будьте однодумні, мирні	2Кор.13:11
Будьте виконавцями слова	Як.1:22
Будьте святі в усіх ваших вчинках	1Петр.1:15
Будьте святі, бо Я Святий	1Петр.1:16
Будьте готові до всякого доброго діла	Тит.3:1
З лагідністю прийміть насаджене слово	Як.1:21
Ви збагатились в Ньому всім	1Кор.1:5
У тіні Своїх крил заховай Ти мене	Пс.16:8
Мир великий для тих, хто кохає Закона Твого!	Пс.118:165
Великі і дорогоцінні обітниці		2Петр.1:4
Віра без діл мертва	Як.2:26
Віра від слухання, а слухання від Слова Божого	Рим.10:17
Чи вірите ви, що Я можу вчинити це?	Мт.9:28
Хто вірує в Нього, не осоромиться	1Петр.2:6
Веселощі вічні будуть в них	Іс.61:7
Веселися перед Господом, Богом твоїм	Дрзкн.12:18
Знайдіть Мене - і будете живі	Ам.5:4
Видиме - тимчасове, а невидиме - вічне	2Кор.4:18
Ваб мене, ми побіжимо за тобою	Пісн.П.1:4
В усякій скорботі їхній Він не залишав їх	Іс.63:9
Ваші руки здійміть до святині і Господа благословіть	Пс.134:2
Волай до Мене - і Я відповім тобі	Єр.33:3
Я кличу до Бога Всевишнього... до Бога, що чинить для мене добро	Пс.56:3
Свого тягара поклади на Господа, - і тебе підтримає Він	 Пс.54:23
Улюблені! Ми тепер діти Божі	1Ін.3:2
Зростайте в благодаті	 2Петр.3:18
Відродив нас... для спадщини нетлінної, чистої...	1Петр.1:3,4
Бери хрест... і йди вслід за Мною	Лк.9:23
Буду славити вчинки великі всевладного Господа Бога	Пс.70:16
Воля Божа добра, приємна і досконала	Рим.12:2
Захотівши, Він породив нас словом істини	Як.1:18
Ось тепер день спасіння	2Кор.6:2
Всі ви одно в Христі Ісусі	Гал.3:28
Все робіть на славу Божу	1Кор.10:31
Покладіть усяку журбу вашу на Нього	1Петр.5:7
Все Моє - Твоє і Твоє - Моє	Ін.17:10
Ми перемагаємо силою Того, Хто полюбив нас	Рим.8:37
Нехай усе у вас робиться з любов`ю!	1Кор.16:14
Усе добре робить	Мр.7:37
Всі, хто водяться Духом Божим, сини Божі	 Рим.8:14
Усе, що робить Бог, перебуває повік	Еккл.3:14
Вставши ще вдосвіта... молився	Мр.1:35
Кожен, хто благатиме ім`я Господнє, буде спасенний	Рим.10:13
Всяке добре даяння... сходить згори	Як.1:17
Ви є лист Христів	2Кор.3:3
Ви пізнали, що Господь добрий	1Петр.2:3
Ви ж Христові, а Христос - Божий!	1Кор.3:23
Ви куплені дорогою ціною	1Кор.6:20
Ви одержите нев`янучий вінець слави	1Петр.5:4
Ми прийняли не духа світу цього, а Духа від Бога	1Кор.2:12
Ви.. стали близькими кров`ю Христовою	Еф.2:13
І Він з радістю вивів народ Свій	Пс.104:43
Де Дух Господній, там свобода	2Кор.3:17
Де Я, там і слуга Мій буде	Ін.12:26
Говорили слово Боже з сміливістю	Дії.4:31
Коли хто говорить, хай говорить, як слова Божі	1Петр.4:11
Господа Христа святіть у серцях ваших	1Петр.3:15
Господи, всі бажання мої - перед Тобою	Пс.37:10
Господи! зроби справу Твою серед роки	Авв.3:2
Господу Богу твоєму поклоняйся	Мт.4:10
Господь - сила моя, і спів мій - Господь	Іс.12:2
Господь поблагословить миром народ Свій	Пс.28:11
Бо Господь - сонце та щит	Пс.83:12
Господь - то твердиня мого життя	Пс.26:1
Господь буде для тебе вічним світлом	Іс.60:20
Господь буде захистом для народу Свого	Іоїл.3:16
Господь вельми милосердний і співчутливий	Як.5:11
Господь поклав на Нього гріхи усіх нас	Іс.53:6
Господь дає милість та славу	Пс.83:12
Господь знає, хто сподівається на Нього	Наум 1:7
Для мене Господь оце виконає	Пс.137:8
Господь, Бог людинолюбний і милосердний	Насл.34:6
Гріхів їхніх уже не пригадаю більше	Єр.31:34
Прийде наш Бог, - і не буде мовчати	Пс.49:3
Нехай буде воля Господня!	Дії.21:14
Нехай буде милість Твоя на розраду мені	Пс.118:76
Нехай буде рука Твоя в поміч мені	Пс.118:173
Хай я оселюся навіки в наметі Твоїм	Пс.60:5
Да приносимо плід Богові	Рим.7:4
Хай просить з вірою, без жодного сумніву	Як.1:6
Нехай просить у Бога, Який дає всім щедро і без докорів	Як.1:5
Щоб нам усиновлення прийняти	Гал.4:5
Дар Божий - життя вічне	Рим.6:23
Даром отримали, даром і давайте	Мт.10:8
Дари і покликання Божі невідмінні	Рим.11:29
Ділами віра досягла досконалості	Як.2:22
Ділом правди буде мир	Іс.32:17
Дерзай.. прощаються тобі гріхи твої	Мт.9:2
Довготерпіння Господа нашого вважайте спасінням	2Петр.3:15
Будьте і ви терпеливі, зміцнюйте серця ваші	Як.5:8
Бо викуп їхніх душ дорогий	Пс.48:9
Використовуючи час, бо дні лукаві	Еф.5:16
Дбайте про любов і прагніть дарів духовних	1Кор.14:1
Достойний Агнець, що заколений	Об.5:12
Старе минуло, а нове настало	2Кор.5:17
Дух Слави, Дух Божий спочиває на вас	1Петр.4:14
Палайте Духом, служіть Господеві	Рим.12:11
Один.. Посередник між Богом і людьми	1Тим.2:5
Коли Бог за нас, хто проти нас?	 Рим.8:31
Якщо будеш шукати Його, то знайдеш Його	1Пар.28:9
Ще небагато.. і Грядучий прийде і не забариться	Євр.10:37
Життя ваше заховане з Христом у Бозі	Кол.3:3
Житло благочестивих Він благословляє	Прит.3:33
Завіт вічний поклав Він зі мною	2Цар.23:5
Запечатані обітованим Святим Духом	Еф.1:13
Бо знає Господь дорогу праведних	Пс.1:6
Отець ваш знає, що потрібне вам	Мт.6:8
Знання надимає, а любов будує	1Кор.8:1
І буду вам Отцем, а ви будете синами і дочками Моїми	2Кор.6:18
І у всьому.. виправдовується Ним кожний віруючий	Дії.13:39
І будуть співати про дороги Господні	Пс.137:5
І говорив Я: ти будеш називати Мене батьком твоїм	Єр.3:19
І дух новий дам вам	Єз.36:26
І життя було світлом людям	Ін.1:4
І хто доторкався до Нього - зцілявся	Мр.6:56
І ми пізнали любов, яку Бог має до нас	1Ін.4:16
І на землі мир, в людях благовоління	Лк.2:14
І очікувати з неба Сина Його	1Сол.1:10
І поставлю житло Моє серед вас	Лев.26:11
І слово моє і проповідь моя.. в явленні Духа і сили	1Кор.2:4
І так, терпеливо очікуючи, Авраам отримав обіцяне	Євр.6:15
І Цар скаже їм у відповідь: ви зробили Мені	Мт.25:40
Бо Агнець... буде пасти їх	Об.7:17
Бо знаходить Господь уподобу в народі Своїм	Пс.149:4
Бо близький день Господній	Соф.1:7
Бо велике милосердя Його до нас	Пс.116:2
Бо ось, Я створюю нове небо і нову землю	Іс.65:17
Усі обітниці Божі в Ньому 'так'	2Кор.1:20
Бо життя з`явилось	1Ін.1:2
Бо ярмо Моє любе, і тягар Мій легкий	Мт.11:30
Бо Той, що милує їх, буде вести їх	Іс.49:10
Ми співробітники Божі	1Кор.3:9
Бо ми Христові пахощі Богові	2Кор.2:15
Бо Сам Отець любить вас	Ін.16:27
Бо слово про хрест... - сила Божа	1Кор.1:18
Йдіть і приєднайтеся до Господа	Єр.50:5
З вуст Моїх виходить правда, слово незмінне	Іс.45:23
Ісус... завжди живий, щоб заступатись	 Євр.7:22,25
Ілля був чоловіком, подібним до нас	Як.5:17
Маючи такі обітниці, очистьмо себе	2Кор.7:1
